date,hashrate
2011/10/13,3981152
2011/10/14,10173213
2011/10/15,2465190
2011/10/16,3243604
2011/10/17,3784099
2011/10/18,3491184
2011/10/19,4615624
2011/10/20,4406201
2011/10/21,5721538
2011/10/22,6050692
2011/10/23,6517777
2011/10/24,7697206
2011/10/25,5792978
2011/10/26,6077776
2011/10/27,5405281
2011/10/28,4135097
2011/10/29,5105674
2011/10/30,6118471
2011/10/31,6436955
2011/11/01,7950239
2011/11/02,14851569
2011/11/03,17710885
2011/11/04,21185640
2011/11/05,21431536
2011/11/06,19395028
2011/11/07,18682079
2011/11/08,17478903
2011/11/09,17764696
2011/11/10,16439840
2011/11/11,17303985
2011/11/12,17506448
2011/11/13,17740277
2011/11/14,16699834
2011/11/15,18117610
2011/11/16,17589267
2011/11/17,17734298
2011/11/18,19580764
2011/11/19,18724322
2011/11/20,20058404
2011/11/21,19732050
2011/11/22,19193929
2011/11/23,18876649
2011/11/24,18145330
2011/11/25,17795447
2011/11/26,18781302
2011/11/27,19342354
2011/11/28,18838894
2011/11/29,18716620
2011/11/30,21950282
2011/12/01,23686916
2011/12/02,27486420
2011/12/03,28797421
2011/12/04,30974481
2011/12/05,26058406
2011/12/06,28117205
2011/12/07,29548412
2011/12/08,26823454
2011/12/09,24724165
2011/12/10,25690188
2011/12/11,29249490
2011/12/12,27317276
2011/12/13,20355254
2011/12/14,16129895
2011/12/15,20308206
2011/12/16,20061832
2011/12/17,23171063
2011/12/18,22433666
2011/12/19,20562636
2011/12/20,21276836
2011/12/21,21946241
2011/12/22,29371303
2011/12/23,26157608
2011/12/24,14135000
2011/12/25,11388493
2011/12/26,13223883
2011/12/27,14551029
2011/12/28,13279337
2011/12/29,21537013
2011/12/30,40160922
2011/12/31,37845712
2012/01/01,28937434
2012/01/02,32549870
2012/01/03,33614519
2012/01/04,35603969
2012/01/05,35193187
2012/01/06,36134663
2012/01/07,29278779
2012/01/08,20554109
2012/01/09,14928483
2012/01/10,11875515
2012/01/11,13116570
2012/01/12,14189251
2012/01/13,28405357
2012/01/14,39889312
2012/01/15,29723025
2012/01/16,18938342
2012/01/17,15969831
2012/01/18,14021758
2012/01/19,11222398
2012/01/20,11075112
2012/01/21,13020439
2012/01/22,8438740
2012/01/23,13500851
2012/01/24,13043624
2012/01/25,13166697
2012/01/26,13973613
2012/01/27,14528314
2012/01/28,17449998
2012/01/29,29775043
